it,ft,bt,transmission,ownerNo,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats_1,Color,Gear Box,Drive Type,City
0,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2017,₹ 11.95 Lakh,Comprehensive,"94,000 Kms",19.67 kmpl,1582 CC,5,Grey,6 Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,1,Tata,Tata Harrier,2021,₹ 21.75 Lakh,Comprehensive,"33,700 Kms",14.6 kmpl,1956 CC,5,Grey,6-Speed,,Bangalore
0,Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,2014,₹ 4.42 Lakh,Comprehensive,"54,601 Kms",22.38 kmpl,1197 CC,5,White,5-Speed,,Bangalore
0,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2018,₹ 6.90 Lakh,Third Party insurance,"1,10,000 Kms",28.4 kmpl,1248 CC,5,Others,5,,Bangalore
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,2017,₹ 5 Lakh,Third Party,"64,000 Kms",23.1 kmpl,998 CC,5,Red,5 Speed ,FWD,Bangalore
0,Diesel,Sedan,Automatic,1,BMW,BMW 3 Series GT,2016,₹ 33.95 Lakh,Comprehensive,"40,525 Kms",21.76 kmpl,1995 CC,5,White,8 Speed,RWD,Bangalore
0,Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2015,₹ 6.50 Lakh,Third Party insurance,"1,00,000 Kms",26.21 kmpl,1248 CC,5,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,2016,₹ 5.37 Lakh,Comprehensive,"44,154 Kms",19 kmpl,1199 CC,5,White,5 Speed,FWD,Bangalore
0,Diesel,MUV,Manual,1,Renault,Renault Lodgy,2016,₹ 7.50 Lakh,Third Party insurance,"70,000 Kms",19.98 kmpl,1461 CC,7,White,6 Speed,FWD,Bangalore
0,Petrol,Sedan,Automatic,1,Skoda,Skoda Octavia,2018,₹ 17.90 Lakh,Comprehensive,"79,000 Kms",15.1 kmpl,1798 CC,5,White,7 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2017,₹ 4.68 Lakh,Third Party insurance,"68,039 Kms",23.84 kmpl,1199 CC,5,Orange,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,₹ 4.20 Lakh,Third Party insurance,"60,000 Kms",18.5 kmpl,1197 CC,5,Silver,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,₹ 4.20 Lakh,Third Party insurance,"60,000 Kms",18.5 kmpl,1197 CC,5,Silver,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2021,₹ 9.20 Lakh,Third Party insurance,"10,000 Kms",20 kmpl,998 CC,5,Others,6 Speed IMT,,Bangalore
0,Petrol,Sedan,Manual,1,Honda,Honda City,2013,₹ 5.33 Lakh,Third Party,"49,873 Kms",16.8 kmpl,1497 CC,5,Yellow,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,3,Volkswagen,Volkswagen Polo,2013,₹ 8.50 Lakh,Third Party insurance,"90,000 Kms",17.2 kmpl,1197 CC,5,Others,7 Speed,FWD,Bangalore
0,Diesel,Sedan,Manual,2,Skoda,Skoda Rapid,2017,₹ 7.51 Lakh,Third Party insurance,"48,960 Kms",21.13 kmpl,1498 CC,5,Silver,5 Speed,FWD,Bangalore
0,Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,₹ 3.88 Lakh,Third Party insurance,"70,000 Kms",24 kmpl,1120 CC,5,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,₹ 4.90 Lakh,Comprehensive,"68,000 Kms",18.5 kmpl,1197 CC,5,Silver,5 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,1,Mahindra,Mahindra KUV 100,2016,₹ 4.94 Lakh,Third Party,"23,017 Kms",25.32 kmpl,1198 CC,6,Orange,5 Speed,FWD,Bangalore
0,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,₹ 5.25 Lakh,Comprehensive,"83,000 Kms",21.27 kmpl,1396 CC,5,Brown,6 Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,2,BMW,BMW X3,2016,₹ 28.90 Lakh,Comprehensive,"92,000 Kms",16.55 kmpl,1995 CC,5,White,8 Speed,4WD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2018,₹ 5.50 Lakh,Comprehensive,"62,139 Kms",20.51 kmpl,998 CC,5,Red,5 Speed,FWD,Bangalore
0,Lpg,Hatchback,Manual,1,Hyundai,Hyundai i10,2013,₹ 3.65 Lakh,Comprehensive,"74,000 Kms",19.2 kmpl,1086 CC,5,Grey,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,2,Renault,Renault KWID,2016,₹ 4.20 Lakh,Comprehensive,"26,500 Kms",24.04 kmpl,999 CC,5,Red,5 Speed,FWD,Bangalore
0,Diesel,Sedan,Automatic,1,Volvo,Volvo S60,2017,₹ 18.95 Lakh,Comprehensive,"81,716 Kms",27.03 kmpl,1969 CC,5,Silver,8 Speed,FWD,Bangalore
0,Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,₹ 59.90 Lakh,Comprehensive,"24,000 Kms",17 kmpl,2987 CC,5,White,9 Speed,RWD,Bangalore
0,Petrol,SUV,Automatic,1,Mahindra,Mahindra XUV300,2022,₹ 10.50 Lakh,Third Party insurance,"10,000 Kms",17 kmpl,1197 CC,5,White,6-speed AutoSHIFT,FWD,Bangalore
0,Petrol,SUV,Automatic,1,MG,MG Hector Plus,2021,₹ 20.75 Lakh,Comprehensive,"18,000 Kms",16.56 kmpl,1451 CC,6,Black,6-speed CVT,,Bangalore
0,Petrol,Hatchback,Manual,1,Honda,Honda Brio,2013,₹ 3.94 Lakh,Third Party,"38,197 Kms",19.4 kmpl,1198 CC,5,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2017,₹ 7.25 Lakh,Comprehensive,"23,000 Kms",19.56 kmpl,1197 CC,5,Grey,CVT,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2013,₹ 2.40 Lakh,Third Party insurance,"50,000 Kms",20.92 kmpl,998 CC,5,Red,5 Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,1,Renault,Renault Kiger,2022,₹ 8.35 Lakh,Third Party insurance,"10,000 Kms",19.03 kmpl,999 CC,5,Others,5 Speed,,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,₹ 6.95 Lakh,Third Party insurance,"19,000 Kms",18.9 kmpl,1197 CC,5,Blue,5 Speed,FWD,Bangalore
